SLACK_APP_TOKEN,SLACK_BOT_TOKEN,action_type,event_blocks,event_channel,event_channel_type,event_client_msg_id,event_event_ts,event_team,event_text,event_ts,event_type,event_user,interaction_actions,interaction_api_app_id,interaction_channel_id,interaction_channel_name,interaction_container_channel_id,interaction_container_is_ephemeral,interaction_container_message_ts,interaction_container_type,interaction_enterprise,interaction_is_enterprise_install,interaction_message_app_id,interaction_message_blocks,interaction_message_bot_id,interaction_message_team,interaction_message_text,interaction_message_ts,interaction_message_type,interaction_message_user,interaction_response_url,interaction_team_domain,interaction_team_id,interaction_token,interaction_trigger_id,interaction_type,interaction_user_id,interaction_user_name,interaction_user_team_id,interaction_user_username,level,message,question_time,selected_value,timestamp,user_id
True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,토큰 설정 상태 확인,,,2025-06-08T16:16:46.784247,
,,,"[{""type"": ""rich_text"", ""block_id"": ""76L9R"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""text"", ""text"": ""------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------""}]}]}]",C090G0J3AGL,channel,8e998f64-2fb1-48d9-9d9f-fcf1be81798f,1749367023.005079,T08HTKJ8UTA,"------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------",1749367023.005079,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:17:04.953490,
,,,"[{""type"": ""rich_text"", ""block_id"": ""76L9R"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""text"", ""text"": ""------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------""}]}]}]",C090G0J3AGL,channel,836e4b94-5bce-4e22-87d8-b9ebb1e9810c,1749367023.358289,T08HTKJ8UTA,"------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------",1749367023.358289,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:17:05.542606,
,,,"[{""type"": ""rich_text"", ""block_id"": ""76L9R"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""text"", ""text"": ""------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------""}]}]}]",C090G0J3AGL,channel,101488ca-3867-4129-b71b-cdb3ad088a80,1749367024.286449,T08HTKJ8UTA,"------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------",1749367024.286449,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:17:05.695884,
,,,"[{""type"": ""rich_text"", ""block_id"": ""qpUlP"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""user"", ""user_id"": ""U0909EGCWSX""}]}]}]",C090G0J3AGL,,dfe085d8-dedc-464d-bab9-86bbb389ca33,1749367026.562249,T08HTKJ8UTA,<@U0909EGCWSX>,1749367026.562249,app_mention,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[app_mention] 이벤트 수신,2025-06-08T16:17:08.621233,,2025-06-08T16:17:08.621233,
,,,"[{""type"": ""rich_text"", ""block_id"": ""qpUlP"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""user"", ""user_id"": ""U0909EGCWSX""}]}]}]",C090G0J3AGL,channel,dfe085d8-dedc-464d-bab9-86bbb389ca33,1749367026.562249,T08HTKJ8UTA,<@U0909EGCWSX>,1749367026.562249,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:17:08.935947,
,,course_selection,,,,,,,,,,,"[{""action_id"": ""select_ai_course"", ""block_id"": ""xTkp8"", ""text"": {""type"": ""plain_text"", ""text"": "":brain: AI 과정"", ""emoji"": true}, ""value"": ""AI 과정"", ""type"": ""button"", ""action_ts"": ""1749367030.830999""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749367029.022679,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""q+NFc"", ""text"": {""type"": ""mrkdwn"", ""text"": ""안녕하세요! :robot_face: 커널아카데미 부트캠프 FAQ 봇입니다.\n현재 진행중인 과정명을 선택해주세요."", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""2udcQ""}, {""type"": ""actions"", ""block_id"": ""xTkp8"", ""elements"": [{""type"": ""button"", ""action_id"": ""select_ai_course"", ""text"": {""type"": ""plain_text"", ""text"": "":brain: AI 과정"", ""emoji"": true}, ""value"": ""AI 과정""}, {""type"": ""button"", ""action_id"": ""select_bda_course"", ""text"": {""type"": ""plain_text"", ""text"": "":bar_chart: BDA 과정"", ""emoji"": true}, ""value"": ""BDA 과정""}]}]",B0909EGCWRH,T08HTKJ8UTA,과정을 선택해주세요.,1749367029.022679,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9029022187329/KULzN6k2KObheyFt0XqOvsEd,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9029022187393.8605664300928.fbae2f312ab50b6d183c7db75a2c14ce,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] course_selection - 사용자: U08H5JRTP6E, 선택값: AI 과정",,AI 과정,2025-06-08T16:17:10.895820,U08H5JRTP6E
,,category_selection,,,,,,,,,,,"[{""action_id"": ""category_수업_외_과정_관련"", ""block_id"": ""JwWHw"", ""text"": {""type"": ""plain_text"", ""text"": "":clipboard: 수업 외 과정 관련"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련"", ""type"": ""button"", ""action_ts"": ""1749367055.820310""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749367031.273189,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""/pvZP"", ""text"": {""type"": ""mrkdwn"", ""text"": ""*AI 과정*에 대한 FAQ입니다.\n\n*카테고리를 선택해주세요:*"", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""aIsWg""}, {""type"": ""actions"", ""block_id"": ""JwWHw"", ""elements"": [{""type"": ""button"", ""action_id"": ""category_출결_관련_온라인_강의_"", ""text"": {""type"": ""plain_text"", ""text"": "":computer: 출결 관련(온라인 강의)"", ""emoji"": true}, ""value"": ""AI 과정|출결 관련(온라인 강의)""}, {""type"": ""button"", ""action_id"": ""category_실시간_강의_관련"", ""text"": {""type"": ""plain_text"", ""text"": "":school: 실시간 강의 관련"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련""}, {""type"": ""button"", ""action_id"": ""category_출결_관련_실시간_강의_"", ""text"": {""type"": ""plain_text"", ""text"": "":school: 출결 관련(실시간 강의)"", ""emoji"": true}, ""value"": ""AI 과정|출결 관련(실시간 강의)""}, {""type"": ""button"", ""action_id"": ""category_출석_관련__출석/지각/조퇴/결석/공가_"", ""text"": {""type"": ""plain_text"", ""text"": "":clipboard: 출석 관련 (출석/지각/조퇴/결석/공가)"", ""emoji"": true}, ""value"": ""AI 과정|출석 관련 (출석/지각/조퇴/결석/공가)""}, {""type"": ""button"", ""action_id"": ""category_수업_외_과정_관련"", ""text"": {""type"": ""plain_text"", ""text"": "":clipboard: 수업 외 과정 관련"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련""}, {""type"": ""button"", ""action_id"": ""category_출석_관련__기타_"", ""text"": {""type"": ""plain_text"", ""text"": "":clipboard: 출석 관련 (기타)"", ""emoji"": true}, ""value"": ""AI 과정|출석 관련 (기타)""}, {""type"": ""button"", ""action_id"": ""category_온라인_강의_관련"", ""text"": {""type"": ""plain_text"", ""text"": "":computer: 온라인 강의 관련"", ""emoji"": true}, ""value"": ""AI 과정|온라인 강의 관련""}]}]",B0909EGCWRH,T08HTKJ8UTA,카테고리를 선택해주세요.,1749367031.273189,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9040691372240/S3RDwiysVCUrgRNWvuOyLaTu,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9040691388112.8605664300928.200393d259a105f4c19d6286baedb91a,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] category_selection - 사용자: U08H5JRTP6E, 선택값: AI 과정|수업 외 과정 관련",,AI 과정|수업 외 과정 관련,2025-06-08T16:17:35.897837,U08H5JRTP6E
,,question_selection,,,,,,,,,,,"[{""action_id"": ""question_3"", ""block_id"": ""ejiRx"", ""text"": {""type"": ""plain_text"", ""text"": ""주요공지방에 올려주신 구글 드라이브에 접근 권한이 없다고 나옵니다."", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|3"", ""type"": ""button"", ""action_ts"": ""1749367059.982853""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749367056.483669,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""3gCFa"", ""text"": {""type"": ""mrkdwn"", ""text"": ""*AI 과정* &gt; *수업 외 과정 관련*\n\n*궁금한 질문을 선택해주세요:*"", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""r6E/4""}, {""type"": ""actions"", ""block_id"": ""ejiRx"", ""elements"": [{""type"": ""button"", ""action_id"": ""question_0"", ""text"": {""type"": ""plain_text"", ""text"": ""개인 프로젝트로 진행이 가능한가요?"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|0""}, {""type"": ""button"", ""action_id"": ""question_1"", ""text"": {""type"": ""plain_text"", ""text"": ""과정 중간 취업을 할 경우에도 수업을 계속 들을 수 있나요?"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|1""}, {""type"": ""button"", ""action_id"": ""question_2"", ""text"": {""type"": ""plain_text"", ""text"": ""OT 관련 자료들은 어디서 볼 수 있나요?"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|2""}, {""type"": ""button"", ""action_id"": ""question_3"", ""text"": {""type"": ""plain_text"", ""text"": ""주요공지방에 올려주신 구글 드라이브에 접근 권한이 없다고 나옵니다."", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|3""}, {""type"": ""button"", ""action_id"": ""question_4"", ""text"": {""type"": ""plain_text"", ""text"": ""프로젝트는 제가 원하는 데이터셋을 받아서 프로젝트를 진행할 수 있는 걸까요?"", ""emoji"": true}, ""value"": ""AI 과정|수업 외 과정 관련|4""}]}, {""type"": ""actions"", ""block_id"": ""qbwCV"", ""elements"": [{""type"": ""button"", ""action_id"": ""back_to_categories_AI_과정"", ""text"": {""type"": ""plain_text"", ""text"": "":arrow_backward: 카테고리 선택으로 돌아가기"", ""emoji"": true}, ""value"": ""AI 과정""}]}]",B0909EGCWRH,T08HTKJ8UTA,질문을 선택해주세요.,1749367056.483669,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9029022192481/16jDzjpnrdkpSblrH1myA1fW,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9029022235537.8605664300928.c25232d4c92694bfe0d7d6d83dd8a58f,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] question_selection - 사용자: U08H5JRTP6E, 선택값: AI 과정|수업 외 과정 관련|3",,AI 과정|수업 외 과정 관련|3,2025-06-08T16:17:40.121134,U08H5JRTP6E
