SLACK_APP_TOKEN,SLACK_BOT_TOKEN,action_type,interaction_actions,interaction_api_app_id,interaction_channel_id,interaction_channel_name,interaction_container_channel_id,interaction_container_is_ephemeral,interaction_container_message_ts,interaction_container_type,interaction_enterprise,interaction_is_enterprise_install,interaction_message_app_id,interaction_message_blocks,interaction_message_bot_id,interaction_message_team,interaction_message_text,interaction_message_ts,interaction_message_type,interaction_message_user,interaction_response_url,interaction_team_domain,interaction_team_id,interaction_token,interaction_trigger_id,interaction_type,interaction_user_id,interaction_user_name,interaction_user_team_id,interaction_user_username,level,message,selected_value,timestamp,user_id
True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,토큰 설정 상태 확인,,2025-06-08T16:03:11.239099,
,,question_selection,"[{""action_id"": ""question_5"", ""block_id"": ""jK7yK"", ""text"": {""type"": ""plain_text"", ""text"": ""실시간 강의의 강의 자료는 어디서 확인이 가능한가요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|5"", ""type"": ""button"", ""action_ts"": ""1749366196.467592""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749366113.934899,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""qB8Mk"", ""text"": {""type"": ""mrkdwn"", ""text"": ""*AI 과정* &gt; *실시간 강의 관련*\n\n*궁금한 질문을 선택해주세요:*"", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""DZTVr""}, {""type"": ""actions"", ""block_id"": ""F+OYt"", ""elements"": [{""type"": ""button"", ""action_id"": ""question_0"", ""text"": {""type"": ""plain_text"", ""text"": ""Zoom 강의 시 카메라 필수인가요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|0""}, {""type"": ""button"", ""action_id"": ""question_1"", ""text"": {""type"": ""plain_text"", ""text"": ""Zoom 강의 시 아바타를 켜놓아도 괜찮은가요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|1""}, {""type"": ""button"", ""action_id"": ""question_2"", ""text"": {""type"": ""plain_text"", ""text"": ""Zoom 강의실에는 어떻게 입장해야하나요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|2""}, {""type"": ""button"", ""action_id"": ""question_3"", ""text"": {""type"": ""plain_text"", ""text"": ""Zoom 실시간 강의의 정확한 일정(날짜/시간)을 알 수 있나요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|3""}, {""type"": ""button"", ""action_id"": ""question_4"", ""text"": {""type"": ""plain_text"", ""text"": ""실시간 강의자료는 어디서  받을 수 있을까요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|4""}]}, {""type"": ""actions"", ""block_id"": ""jK7yK"", ""elements"": [{""type"": ""button"", ""action_id"": ""question_5"", ""text"": {""type"": ""plain_text"", ""text"": ""실시간 강의의 강의 자료는 어디서 확인이 가능한가요?"", ""emoji"": true}, ""value"": ""AI 과정|실시간 강의 관련|5""}]}, {""type"": ""actions"", ""block_id"": ""gp6qw"", ""elements"": [{""type"": ""button"", ""action_id"": ""back_to_categories_AI_과정"", ""text"": {""type"": ""plain_text"", ""text"": "":arrow_backward: 카테고리 선택으로 돌아가기"", ""emoji"": true}, ""value"": ""AI 과정""}]}]",B0909EGCWRH,T08HTKJ8UTA,질문을 선택해주세요.,1749366113.934899,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9001279834583/4vgof8fiIO4VF1PwCWuBN52O,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9001279851287.8605664300928.f7cb2df4b4a5944400f488018c1b150c,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] question_selection - 사용자: U08H5JRTP6E, 선택값: AI 과정|실시간 강의 관련|5",AI 과정|실시간 강의 관련|5,2025-06-08T16:03:16.466605,U08H5JRTP6E
