SLACK_APP_TOKEN,SLACK_BOT_TOKEN,action_type,event_blocks,event_channel,event_channel_type,event_client_msg_id,event_event_ts,event_team,event_text,event_ts,event_type,event_user,interaction_actions,interaction_api_app_id,interaction_channel_id,interaction_channel_name,interaction_container_channel_id,interaction_container_is_ephemeral,interaction_container_message_ts,interaction_container_type,interaction_enterprise,interaction_is_enterprise_install,interaction_message_app_id,interaction_message_blocks,interaction_message_bot_id,interaction_message_team,interaction_message_text,interaction_message_ts,interaction_message_type,interaction_message_user,interaction_response_url,interaction_team_domain,interaction_team_id,interaction_token,interaction_trigger_id,interaction_type,interaction_user_id,interaction_user_name,interaction_user_team_id,interaction_user_username,level,message,question_time,selected_value,timestamp,user_id
True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,토큰 설정 상태 확인,,,2025-06-08T16:00:28.059459,
,,,"[{""type"": ""rich_text"", ""block_id"": ""76L9R"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""text"", ""text"": ""------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------\n------------------------------------------------------------------------------------------------------------------------------------------------------------""}]}]}]",C090G0J3AGL,channel,01516a0c-b1d5-459e-9b94-3eac0939a900,1749366044.537989,T08HTKJ8UTA,"------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------",1749366044.537989,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:00:45.683639,
,,,"[{""type"": ""rich_text"", ""block_id"": ""qpUlP"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""user"", ""user_id"": ""U0909EGCWSX""}]}]}]",C090G0J3AGL,channel,d47218f5-1b39-4ded-a61d-69b1a26feb24,1749366049.037389,T08HTKJ8UTA,<@U0909EGCWSX>,1749366049.037389,message,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[message] 이벤트 수신,,,2025-06-08T16:00:50.285070,
,,,"[{""type"": ""rich_text"", ""block_id"": ""qpUlP"", ""elements"": [{""type"": ""rich_text_section"", ""elements"": [{""type"": ""user"", ""user_id"": ""U0909EGCWSX""}]}]}]",C090G0J3AGL,,d47218f5-1b39-4ded-a61d-69b1a26feb24,1749366049.037389,T08HTKJ8UTA,<@U0909EGCWSX>,1749366049.037389,app_mention,U08H5JRTP6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[app_mention] 이벤트 수신,2025-06-08T16:00:50.399272,,2025-06-08T16:00:50.399272,
,,course_selection,,,,,,,,,,,"[{""action_id"": ""select_ai_course"", ""block_id"": ""xTkp8"", ""text"": {""type"": ""plain_text"", ""text"": "":brain: AI 과정"", ""emoji"": true}, ""value"": ""AI 과정"", ""type"": ""button"", ""action_ts"": ""1749366053.400719""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749366050.833249,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""q+NFc"", ""text"": {""type"": ""mrkdwn"", ""text"": ""안녕하세요! :robot_face: 커널아카데미 부트캠프 FAQ 봇입니다.\n현재 진행중인 과정명을 선택해주세요."", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""2udcQ""}, {""type"": ""actions"", ""block_id"": ""xTkp8"", ""elements"": [{""type"": ""button"", ""action_id"": ""select_ai_course"", ""text"": {""type"": ""plain_text"", ""text"": "":brain: AI 과정"", ""emoji"": true}, ""value"": ""AI 과정""}, {""type"": ""button"", ""action_id"": ""select_bda_course"", ""text"": {""type"": ""plain_text"", ""text"": "":bar_chart: BDA 과정"", ""emoji"": true}, ""value"": ""BDA 과정""}]}]",B0909EGCWRH,T08HTKJ8UTA,과정을 선택해주세요.,1749366050.833249,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9017852778994/tS1ZGfWwexO43slNszGXBMwB,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9017852779522.8605664300928.e9140d071d1a32618a24738d20b7f0e6,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] course_selection - 사용자: U08H5JRTP6E, 선택값: AI 과정",,AI 과정,2025-06-08T16:00:53.550982,U08H5JRTP6E
,,course_selection,,,,,,,,,,,"[{""action_id"": ""select_bda_course"", ""block_id"": ""xTkp8"", ""text"": {""type"": ""plain_text"", ""text"": "":bar_chart: BDA 과정"", ""emoji"": true}, ""value"": ""BDA 과정"", ""type"": ""button"", ""action_ts"": ""1749366062.982150""}]",A0909DRAH99,C090G0J3AGL,faq-bot-test,C090G0J3AGL,False,1749366050.833249,message,None,False,A0909DRAH99,"[{""type"": ""section"", ""block_id"": ""q+NFc"", ""text"": {""type"": ""mrkdwn"", ""text"": ""안녕하세요! :robot_face: 커널아카데미 부트캠프 FAQ 봇입니다.\n현재 진행중인 과정명을 선택해주세요."", ""verbatim"": false}}, {""type"": ""divider"", ""block_id"": ""2udcQ""}, {""type"": ""actions"", ""block_id"": ""xTkp8"", ""elements"": [{""type"": ""button"", ""action_id"": ""select_ai_course"", ""text"": {""type"": ""plain_text"", ""text"": "":brain: AI 과정"", ""emoji"": true}, ""value"": ""AI 과정""}, {""type"": ""button"", ""action_id"": ""select_bda_course"", ""text"": {""type"": ""plain_text"", ""text"": "":bar_chart: BDA 과정"", ""emoji"": true}, ""value"": ""BDA 과정""}]}]",B0909EGCWRH,T08HTKJ8UTA,과정을 선택해주세요.,1749366050.833249,message,U0909EGCWSX,https://hooks.slack.com/actions/T08HTKJ8UTA/9001275878727/XhEiW8YxG4PqdUKc6ifVAOXA,ai--13,T08HTKJ8UTA,c7bXJS1ITOU5hXCMcMoIz21m,9001275879191.8605664300928.6f20a65ef816626243f7db8ad2fad87f,block_actions,U08H5JRTP6E,myeonggi.seong,T08HTKJ8UTA,myeonggi.seong,,"[사용자 상호작용] course_selection - 사용자: U08H5JRTP6E, 선택값: BDA 과정",,BDA 과정,2025-06-08T16:01:03.280811,U08H5JRTP6E
